#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
47,Pakistan,"1,518,083",+571,"30,304",+6,"1,469,930",+525,"17,849",641,"6,655",133,"26,862,188","117,751","228,127,539"
48,Norway,"1,346,777",,"1,753",,"88,952",,"1,256,072",23,"245,190",319,"9,852,076","1,793,638","5,492,789"
49,Ireland,"1,341,826",,"6,611",,"1,229,577","+5,628","105,638",41,"266,719","1,314","11,510,702","2,288,015","5,030,869"
50,Kazakhstan,"1,304,344",+124,"13,642",,"1,280,084",+643,"10,618",528,"68,092",712,"11,575,012","604,259","19,155,723"
51,Morocco,"1,161,980",,"16,034",,"1,144,938",,"1,008",293,"30,864",426,"11,237,010","298,469","37,648,856"
52,Bulgaria,"1,111,216",,"36,069",,"875,759",,"199,388",345,"161,981","5,258","9,354,689","1,363,627","6,860,154"
53,Lebanon,"1,083,351",,"10,193",,"982,902",,"90,256",186,"159,931","1,505","4,795,578","707,954","6,773,851"
54,Cuba,"1,075,616",,"8,503",,"1,064,627",,"2,486",23,"95,062",751,"12,920,253","1,141,875","11,314,946"
55,Croatia,"1,072,430","+1,575","15,321",+13,"1,046,994","+1,462","10,115",53,"263,981","3,771","4,579,536","1,127,261","4,062,533"
56,Tunisia,"1,020,546",,"28,018",,"979,949",,"12,579",113,"84,852","2,330","4,432,295","368,519","12,027,325"
57,Nepal,"977,878",+30,"11,950",,"960,878",+192,"5,050",100,"32,573",398,"5,477,440","182,454","30,020,893"
58,Lithuania,"959,305","+2,657","8,624",+19,"873,992","+2,739","76,689",71,"360,888","3,244","7,881,851","2,965,131","2,658,180"
59,Belarus,"939,514","+1,931","6,647",+14,"928,536",,"4,331",,"99,482",704,"12,620,704","1,336,362","9,444,076"
60,Singapore,"917,103",,"1,129",,"859,317",,"56,657",23,"154,707",190,"23,315,251","3,933,073","5,927,999"
61,Slovenia,"916,712","+2,257","6,404",+6,"884,828","+1,812","25,480",71,"440,850","3,080","2,587,971","1,244,564","2,079,420"
62,Bolivia,"897,098",+354,"21,473",+1,"805,870","+1,368","69,755",220,"75,123","1,798","2,682,016","224,592","11,941,706"
63,UAE,"885,089",+353,"2,302",,"848,821","+1,033","33,966",,"87,702",228,"142,181,348","14,088,438","10,092,059"
64,Uruguay,"862,153",,"7,083",,"844,434",,"10,636",83,"246,749","2,027","5,801,596","1,660,421","3,494,051"
65,Ecuador,"843,760",,"35,316",,N/A,N/A,N/A,759,"46,629","1,952","2,470,170","136,511","18,095,088"
66,Costa Rica,"822,935",,"8,160",,"718,278",,"96,497",98,"159,094","1,578","3,801,529","734,932","5,172,627"
67,Guatemala,"802,744",,"17,139",,"757,609",,"27,996",5,"43,451",928,"4,057,394","219,620","18,474,637"
68,Azerbaijan,"790,575",+197,"9,599",+10,"779,011",+468,"1,965",,"76,804",933,"6,628,447","643,950","10,293,419"
69,Panama,"759,224",,"8,131",,"748,028",,"3,065",26,"171,407","1,836","5,582,962","1,260,442","4,429,367"
70,Saudi Arabia,"748,624",+135,"9,017",+1,"730,355",+317,"9,252",313,"20,953",252,"41,219,077","1,153,670","35,728,651"
71,Latvia,"739,609","+6,525","5,434",+23,"638,869","+10,000","95,306",42,"399,573","2,936","6,900,368","3,727,914","1,851,000"
72,Finland,"734,262",,"2,653",,"46,000",,"685,609",36,"132,174",478,"10,113,235","1,820,483","5,555,249"
73,Sri Lanka,"655,383",,"16,381",,"618,697",,"20,305",,"30,391",760,"6,368,159","295,303","21,564,799"
74,Hong Kong,"646,700",,"3,444",,"13,232",,"630,024",76,"85,096",453,"36,260,319","4,771,322","7,599,638"
75,Paraguay,"645,655",,"18,522",,"618,923",,"8,210",86,"88,684","2,544","2,554,263","350,842","7,280,387"
76,Kuwait,"625,202",,"2,549",,"618,194",,"4,459",17,"142,834",582,"7,763,313","1,773,605","4,377,137"
77,Myanmar,"604,219",,"19,403",,"555,290",,"29,526",,"10,981",353,"7,354,769","133,661","55,025,456"
78,Palestine,"579,548",,"5,306",,"569,179",,"5,063",71,"109,320","1,001","3,078,533","580,701","5,301,411"
79,Dominican Republic,"576,367",,"4,374",,"571,656",,337,29,"52,247",397,"3,158,390","286,306","11,031,502"
80,Bahrain,"535,065",,"1,462",,"518,158",,"15,445",9,"297,051",812,"9,490,280","5,268,698","1,801,257"
